@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %08s "no-title"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "10/04/15"
@ TIME             %08s "10.48.50"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "MCBV.19L8.B2"                       0                  0                  0                  0
 "MCBH.20L8.B2"                       0                  0                  0                  0
 "MCBV.21L8.B2"                       0    7.281187922e-06                  0    7.281187922e-06
 "MCBH.22L8.B2"                       0                  0                  0                  0
 "MCBV.23L8.B2"                       0                  0                  0                  0
 "MCBH.24L8.B2"                       0                  0                  0                  0
 "MCBV.25L8.B2"                       0                  0                  0                  0
 "MCBH.26L8.B2"                       0                  0                  0                  0
 "MCBV.27L8.B2"                       0                  0                  0                  0
 "MCBH.28L8.B2"                       0                  0                  0                  0
 "MCBV.29L8.B2"                       0    2.024819329e-05                  0    2.024819329e-05
 "MCBH.30L8.B2"                       0                  0                  0                  0
 "MCBV.31L8.B2"                       0    5.702707916e-06                  0    5.702707916e-06
 "MCBH.32L8.B2"                       0                  0                  0                  0
 "MCBV.33L8.B2"                       0    2.845104551e-06                  0    2.845104551e-06
 "MCBH.34L8.B2"                       0                  0                  0                  0
 "MCBV.33R7.B2"                       0    3.525523935e-06                  0    3.525523935e-06
 "MCBH.32R7.B2"                       0                  0                  0                  0
 "MCBV.31R7.B2"                       0                  0                  0                  0
 "MCBH.30R7.B2"                       0                  0                  0                  0
 "MCBV.29R7.B2"                       0   -8.436461911e-06                  0   -8.436461911e-06
 "MCBH.28R7.B2"                       0                  0                  0                  0
 "MCBV.27R7.B2"                       0   -5.917011295e-06                  0   -5.917011295e-06
 "MCBH.26R7.B2"                       0                  0                  0                  0
 "MCBV.25R7.B2"                       0                  0                  0                  0
 "MCBH.24R7.B2"                       0                  0                  0                  0
 "MCBV.23R7.B2"                       0                  0                  0                  0
 "MCBH.22R7.B2"                       0                  0                  0                  0
 "MCBV.21R7.B2"                       0    -9.34089045e-06                  0    -9.34089045e-06
 "MCBH.20R7.B2"                       0                  0                  0                  0
 "MCBV.19R7.B2"                       0   -4.607395269e-06                  0   -4.607395269e-06
 "MCBH.18R7.B2"                       0                  0                  0                  0
 "MCBV.17R7.B2"                       0                  0                  0                  0
 "MCBH.16R7.B2"                       0                  0                  0                  0
 "MCBV.15R7.B2"                       0    1.119130012e-05                  0    1.291024545e-05
 "MCBH.14R7.B2"                       0                  0                  0                  0
 "MCBV.13R7.B2"                       0    8.489041589e-06                  0    8.489041589e-06
 "MCBH.12R7.B2"                       0                  0                  0                  0
