@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %08s "no-title"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "10/04/15"
@ TIME             %08s "10.48.50"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "MCBH.27L7.B2"        -3.018770108e-05                  0   -3.018770108e-05                  0
 "MCBV.28L7.B2"                       0                  0                  0                  0
 "MCBH.29L7.B2"        -1.729476266e-05                  0   -1.729476266e-05                  0
 "MCBV.30L7.B2"                       0                  0                  0                  0
 "MCBH.31L7.B2"                       0                  0                  0                  0
 "MCBV.32L7.B2"                       0                  0                  0                  0
 "MCBH.33L7.B2"         1.039568707e-05                  0    1.039568707e-05                  0
 "MCBV.34L7.B2"                       0                  0                  0                  0
 "MCBH.33R6.B2"         2.032536454e-05                  0    2.032536454e-05                  0
 "MCBV.32R6.B2"                       0                  0                  0                  0
 "MCBH.31R6.B2"                       0                  0                  0                  0
 "MCBV.30R6.B2"                       0                  0                  0                  0
 "MCBH.29R6.B2"        -2.192454785e-05                  0   -2.192454785e-05                  0
 "MCBV.28R6.B2"                       0                  0                  0                  0
 "MCBH.27R6.B2"                       0                  0                  0                  0
 "MCBV.26R6.B2"                       0                  0                  0                  0
 "MCBH.25R6.B2"        -9.925840423e-06                  0   -9.925840423e-06                  0
 "MCBV.24R6.B2"                       0                  0                  0                  0
 "MCBH.23R6.B2"                       0                  0                  0                  0
 "MCBV.22R6.B2"                       0                  0                  0                  0
 "MCBH.21R6.B2"        -1.295505557e-05                  0   -1.295505557e-05                  0
 "MCBV.20R6.B2"                       0                  0                  0                  0
 "MCBH.19R6.B2"                       0                  0                  0                  0
 "MCBV.18R6.B2"                       0                  0                  0                  0
 "MCBH.17R6.B2"         3.194364347e-05                  0    3.194364347e-05                  0
 "MCBV.16R6.B2"                       0                  0                  0                  0
 "MCBH.15R6.B2"          -5.8635897e-06                  0     -5.8635897e-06                  0
 "MCBV.14R6.B2"                       0                  0                  0                  0
 "MCBH.13R6.B2"         -2.34235893e-06                  0    -2.34235893e-06                  0
 "MCBV.12R6.B2"                       0                  0                  0                  0
 "MCBH.11R6.B2"                       0                  0                  0                  0
 "MCBCV.10R6.B2"                      0                  0                  0                  0
 "MCBCH.9R6.B2"        -5.481195869e-06                  0   -5.481195869e-06                  0
 "MCBCV.8R6.B2"                       0                  0                  0                  0
 "MCBYH.5R6.B2"         -3.20606539e-06                  0    -3.20606539e-06                  0
 "MCBYV.4R6.B2"                       0                  0                  0                  0
 "MCBYH.4L6.B2"        -1.804937609e-06                  0   -1.804937609e-06                  0
 "MCBYV.5L6.B2"                       0                  0                  0                  0
 "MCBCH.8L6.B2"                       0                  0                  0                  0
 "MCBCV.9L6.B2"                       0                  0                  0                  0
 "MCBCH.10L6.B2"                      0                  0                  0                  0
 "MCBV.11L6.B2"                       0                  0                  0                  0
 "MCBH.12L6.B2"                       0                  0   -1.609281637e-06                  0
 "MCBV.13L6.B2"                       0                  0                  0                  0
 "MCBH.14L6.B2"        -2.756568789e-05                  0   -2.756568789e-05                  0
 "MCBV.15L6.B2"                       0                  0                  0                  0
 "MCBH.16L6.B2"         2.935119905e-06                  0    2.935119905e-06                  0
 "MCBV.17L6.B2"                       0                  0                  0                  0
 "MCBH.18L6.B2"                       0                  0    3.257420845e-06                  0
 "MCBV.19L6.B2"                       0                  0                  0                  0
 "MCBH.20L6.B2"        -7.802341133e-06                  0   -7.802341133e-06                  0
 "MCBV.21L6.B2"                       0                  0                  0                  0
 "MCBH.22L6.B2"                       0                  0    2.878288506e-06                  0
 "MCBV.23L6.B2"                       0                  0                  0                  0
 "MCBH.24L6.B2"                       0                  0   -4.243574105e-06                  0
 "MCBV.25L6.B2"                       0                  0                  0                  0
 "MCBH.26L6.B2"        -7.281096186e-06                  0   -9.933754802e-06                  0
 "MCBV.27L6.B2"                       0                  0                  0                  0
 "MCBH.28L6.B2"        -3.740180051e-06                  0    -8.32004589e-06                  0
 "MCBV.29L6.B2"                       0                  0                  0                  0
 "MCBH.30L6.B2"                       0                  0   -2.800162416e-06                  0
 "MCBV.31L6.B2"                       0                  0                  0                  0
 "MCBH.32L6.B2"                       0                  0    -2.57504452e-06                  0
 "MCBV.33L6.B2"                       0                  0                  0                  0
